project_id,title,description,creator_id,status,required_skills,research_areas
22,Research Project 22,A study on Cybersecurity with implications in modern applications.,20,Active,"Survey Analysis, Statistics, Machine Learning","Blockchain, Mathematics"
23,Research Project 23,A study on AI with implications in modern applications.,39,Active,"Python, Public Speaking, PyTorch","Psychology, Astronomy"
24,Research Project 24,A study on Law with implications in modern applications.,28,Active,"Python, Experimental Design, Public Speaking","Bioinformatics, Astronomy"
25,Research Project 25,A study on Environmental Science with implications in modern applications.,38,Inactive,"SQL, Financial Forecasting, Econometric Modeling","Physics, AI"
26,Research Project 26,A study on Machine Learning with implications in modern applications.,24,Active,"Econometric Modeling, R, Behavioral Analysis","Neuroscience, Cloud Computing"
27,Research Project 27,A study on Neuroscience with implications in modern applications.,18,Active,"PyTorch, Behavioral Analysis, Qualitative Research","Anthropology, Astronomy"
28,Research Project 28,A study on Astronomy with implications in modern applications.,49,Inactive,"Qualitative Research, PyTorch, SQL","Environmental Science, Law"
29,Research Project 29,A study on NLP with implications in modern applications.,34,Inactive,"Survey Analysis, Financial Forecasting, Behavioral Analysis","Computer Vision, Law"
30,Research Project 30,A study on Law with implications in modern applications.,4,Active,"Financial Forecasting, Python, SQL","AI, Neuroscience"
31,Research Project 31,A study on AI with implications in modern applications.,42,Active,"Legal Research, Qualitative Research, Machine Learning","Computer Vision, Bioinformatics"
32,Research Project 32,A study on Psychology with implications in modern applications.,41,Active,"Qualitative Research, Financial Forecasting, TensorFlow","Sociology, Neuroscience"
33,Research Project 33,A study on Biology with implications in modern applications.,24,Active,"SQL, Cognitive Science, Econometric Modeling","Sociology, Data Science"
34,Research Project 34,A study on Cybersecurity with implications in modern applications.,36,Inactive,"R, SQL, Scientific Writing","Cybersecurity, Data Science"
35,Research Project 35,A study on AI with implications in modern applications.,26,Active,"Healthcare Policy, Experimental Design, PyTorch","Physics, Machine Learning"
36,Research Project 36,A study on Sociology with implications in modern applications.,50,Inactive,"Behavioral Analysis, Legal Research, Public Speaking","Healthcare, Anthropology"
37,Research Project 37,A study on Machine Learning with implications in modern applications.,36,Inactive,"Qualitative Research, Public Speaking, Data Analysis","Sociology, Environmental Science"
38,Research Project 38,A study on Environmental Science with implications in modern applications.,41,Active,"PyTorch, R, Data Analysis","Anthropology, NLP"
39,Research Project 39,A study on Mathematics with implications in modern applications.,22,Active,"Legal Research, TensorFlow, Data Analysis","Political Science, Astronomy"
40,Research Project 40,A study on Bioinformatics with implications in modern applications.,26,Inactive,"Experimental Design, Legal Research, Genomics","Computer Vision, Blockchain"
41,Research Project 41,A study on Cybersecurity with implications in modern applications.,24,Active,"SQL, Mathematical Modeling, Python","Environmental Science, Physics"
42,Research Project 42,A study on Law with implications in modern applications.,45,Inactive,"Healthcare Policy, R, Python","Neuroscience, Deep Learning"
43,Research Project 43,A study on Blockchain with implications in modern applications.,38,Active,"Public Speaking, Cognitive Science, Mathematical Modeling","Computer Vision, Machine Learning"
44,Research Project 44,A study on Astronomy with implications in modern applications.,44,Inactive,"Cognitive Science, Mathematical Modeling, Econometric Modeling","Astronomy, Neuroscience"
45,Research Project 45,A study on AI with implications in modern applications.,43,Active,"Machine Learning, Scientific Writing, SQL","Cloud Computing, Sociology"
46,Research Project 46,A study on Astronomy with implications in modern applications.,12,Inactive,"Qualitative Research, Cognitive Science, Financial Forecasting","Political Science, Biology"
47,Research Project 47,A study on Data Science with implications in modern applications.,40,Active,"PyTorch, R, Healthcare Policy","Deep Learning, Anthropology"
48,Research Project 48,A study on Data Science with implications in modern applications.,17,Inactive,"Data Analysis, Machine Learning, Qualitative Research","Data Science, Anthropology"
49,Research Project 49,A study on Physics with implications in modern applications.,44,Inactive,"Statistics, Econometric Modeling, Data Analysis","Education, Bioinformatics"
50,Research Project 50,A study on Physics with implications in modern applications.,41,Inactive,"Legal Research, Public Speaking, Statistics","AI, Mathematics"
51,Research Project 51,A study on Data Science with implications in modern applications.,38,Active,"Healthcare Policy, Machine Learning, Public Speaking","Political Science, Bioinformatics"
52,Research Project 52,A study on Machine Learning with implications in modern applications.,22,Inactive,"Public Speaking, Genomics, Behavioral Analysis","Cybersecurity, Deep Learning"
53,Research Project 53,A study on Machine Learning with implications in modern applications.,12,Active,"Scientific Writing, Cognitive Science, Legal Research","Computer Vision, Healthcare"
54,Research Project 54,A study on Data Science with implications in modern applications.,31,Active,"PyTorch, Statistics, Econometric Modeling","Data Science, Psychology"
55,Research Project 55,A study on Mathematics with implications in modern applications.,32,Inactive,"Healthcare Policy, Behavioral Analysis, Cognitive Science","Machine Learning, Mathematics"
56,Research Project 56,A study on Cybersecurity with implications in modern applications.,38,Active,"Financial Forecasting, Public Speaking, Scientific Writing","NLP, Bioinformatics"
57,Research Project 57,A study on AI with implications in modern applications.,10,Active,"Genomics, TensorFlow, Mathematical Modeling","Mathematics, NLP"
58,Research Project 58,A study on Biology with implications in modern applications.,21,Active,"Public Speaking, PyTorch, Healthcare Policy","NLP, Data Science"
59,Research Project 59,A study on Computer Vision with implications in modern applications.,15,Active,"Scientific Writing, Econometric Modeling, Statistics","Psychology, Cloud Computing"
60,Research Project 60,A study on Psychology with implications in modern applications.,34,Inactive,"Econometric Modeling, Genomics, Behavioral Analysis","Environmental Science, Physics"
61,Research Project 61,A study on Biology with implications in modern applications.,43,Inactive,"Qualitative Research, Data Analysis, Survey Analysis","Psychology, Astronomy"
62,Research Project 62,A study on Law with implications in modern applications.,5,Active,"R, Legal Research, PyTorch","Education, Astronomy"
63,Research Project 63,A study on Healthcare with implications in modern applications.,32,Active,"PyTorch, Genomics, Python","Political Science, Astronomy"
64,Research Project 64,A study on Blockchain with implications in modern applications.,23,Inactive,"Econometric Modeling, PyTorch, Qualitative Research","Data Science, Astronomy"
65,Research Project 65,A study on AI with implications in modern applications.,35,Active,"Survey Analysis, Experimental Design, Legal Research","Economics, Mathematics"
66,Research Project 66,A study on Data Science with implications in modern applications.,13,Active,"Econometric Modeling, Python, Public Speaking","Deep Learning, Political Science"
67,Research Project 67,A study on Anthropology with implications in modern applications.,47,Active,"Data Analysis, Financial Forecasting, Mathematical Modeling","Education, NLP"
68,Research Project 68,A study on Bioinformatics with implications in modern applications.,41,Active,"Survey Analysis, Machine Learning, Statistics","Computer Vision, Deep Learning"
69,Research Project 69,A study on AI with implications in modern applications.,6,Inactive,"Qualitative Research, SQL, TensorFlow","Psychology, Biology"
70,Research Project 70,A study on Biology with implications in modern applications.,39,Active,"Legal Research, Data Analysis, Public Speaking","Education, Sociology"
71,Research Project 71,A study on Data Science with implications in modern applications.,30,Active,"Genomics, Econometric Modeling, Mathematical Modeling","Anthropology, Political Science"
72,Research Project 72,A study on Political Science with implications in modern applications.,34,Active,"Statistics, Genomics, Behavioral Analysis","Law, Deep Learning"
73,Research Project 73,A study on Bioinformatics with implications in modern applications.,5,Active,"Data Analysis, Healthcare Policy, Machine Learning","Cybersecurity, Cloud Computing"
74,Research Project 74,A study on Neuroscience with implications in modern applications.,17,Active,"Public Speaking, R, Econometric Modeling","Political Science, Law"
75,Research Project 75,A study on Data Science with implications in modern applications.,11,Active,"Healthcare Policy, Cognitive Science, Behavioral Analysis","Computer Vision, Law"
76,Research Project 76,A study on Healthcare with implications in modern applications.,6,Active,"Machine Learning, Statistics, Genomics","Psychology, Neuroscience"
77,Research Project 77,A study on Blockchain with implications in modern applications.,31,Active,"Qualitative Research, Scientific Writing, Cognitive Science","Cloud Computing, Sociology"
78,Research Project 78,A study on Psychology with implications in modern applications.,49,Active,"Qualitative Research, Scientific Writing, R","Political Science, Law"
79,Research Project 79,A study on Neuroscience with implications in modern applications.,13,Inactive,"Data Analysis, SQL, Healthcare Policy","Physics, Sociology"
80,Research Project 80,A study on Computer Vision with implications in modern applications.,16,Active,"Mathematical Modeling, SQL, Behavioral Analysis","Data Science, AI"
81,Research Project 81,A study on AI with implications in modern applications.,46,Active,"TensorFlow, Econometric Modeling, Scientific Writing","Blockchain, Mathematics"
82,Research Project 82,A study on Sociology with implications in modern applications.,40,Active,"Public Speaking, Legal Research, Scientific Writing","Neuroscience, Machine Learning"
83,Research Project 83,A study on Deep Learning with implications in modern applications.,49,Active,"Healthcare Policy, Survey Analysis, Scientific Writing","Healthcare, Mathematics"
84,Research Project 84,A study on Education with implications in modern applications.,46,Active,"Behavioral Analysis, Healthcare Policy, SQL","Cloud Computing, Mathematics"
85,Research Project 85,A study on Computer Vision with implications in modern applications.,28,Active,"Healthcare Policy, Scientific Writing, Data Analysis","Psychology, Deep Learning"
86,Research Project 86,A study on Education with implications in modern applications.,22,Inactive,"Mathematical Modeling, Scientific Writing, Behavioral Analysis","Healthcare, Data Science"
87,Research Project 87,A study on Biology with implications in modern applications.,8,Inactive,"Scientific Writing, Financial Forecasting, R","Machine Learning, Sociology"
88,Research Project 88,A study on Environmental Science with implications in modern applications.,50,Active,"Healthcare Policy, Public Speaking, Cognitive Science","Data Science, Anthropology"
89,Research Project 89,A study on AI with implications in modern applications.,18,Inactive,"Behavioral Analysis, SQL, Survey Analysis","Bioinformatics, AI"
90,Research Project 90,A study on Environmental Science with implications in modern applications.,31,Inactive,"SQL, Cognitive Science, Legal Research","Education, Healthcare"
91,Research Project 91,A study on Blockchain with implications in modern applications.,47,Inactive,"Experimental Design, Statistics, Python","Machine Learning, Law"
92,Research Project 92,A study on Blockchain with implications in modern applications.,22,Active,"Survey Analysis, Mathematical Modeling, Statistics","Data Science, Physics"
93,Research Project 93,A study on Cloud Computing with implications in modern applications.,27,Inactive,"Qualitative Research, R, Machine Learning","Biology, Neuroscience"
94,Research Project 94,A study on Psychology with implications in modern applications.,34,Active,"Experimental Design, Python, Public Speaking","NLP, Linguistics"
95,Research Project 95,A study on Machine Learning with implications in modern applications.,50,Active,"Python, TensorFlow, SQL","Political Science, Mathematics"
96,Research Project 96,A study on Environmental Science with implications in modern applications.,11,Active,"SQL, Behavioral Analysis, Genomics","Cybersecurity, Linguistics"
97,Research Project 97,A study on Political Science with implications in modern applications.,1,Inactive,"Experimental Design, Survey Analysis, Mathematical Modeling","Data Science, Psychology"
98,Research Project 98,A study on Computer Vision with implications in modern applications.,30,Inactive,"Data Analysis, Experimental Design, R","Bioinformatics, Economics"
99,Research Project 99,A study on Sociology with implications in modern applications.,9,Active,"Data Analysis, SQL, TensorFlow","NLP, Law"
100,Research Project 100,A study on Astronomy with implications in modern applications.,22,Active,"Python, Genomics, Econometric Modeling","Cybersecurity, Sociology"
101,Research Project 101,A study on Education with implications in modern applications.,40,Active,"Python, Scientific Writing, Statistics","Biology, Bioinformatics"
102,Research Project 102,A study on Healthcare with implications in modern applications.,16,Active,"Survey Analysis, Machine Learning, Financial Forecasting","Data Science, Computer Vision"
103,Research Project 103,A study on Environmental Science with implications in modern applications.,11,Inactive,"Genomics, Qualitative Research, Legal Research","Computer Vision, Environmental Science"
104,Research Project 104,A study on Education with implications in modern applications.,40,Inactive,"Financial Forecasting, Cognitive Science, Public Speaking","AI, Blockchain"
105,Research Project 105,A study on Economics with implications in modern applications.,15,Inactive,"Genomics, Public Speaking, Data Analysis","Environmental Science, Mathematics"
106,Research Project 106,A study on Linguistics with implications in modern applications.,19,Inactive,"Experimental Design, Econometric Modeling, Legal Research","Computer Vision, Bioinformatics"
107,Research Project 107,A study on Linguistics with implications in modern applications.,29,Inactive,"PyTorch, Public Speaking, Scientific Writing","Education, AI"
108,Research Project 108,A study on Anthropology with implications in modern applications.,5,Inactive,"Behavioral Analysis, SQL, Qualitative Research","Psychology, Sociology"
109,Research Project 109,A study on Cloud Computing with implications in modern applications.,23,Active,"Data Analysis, Experimental Design, Scientific Writing","Linguistics, NLP"
110,Research Project 110,A study on Healthcare with implications in modern applications.,35,Inactive,"PyTorch, Machine Learning, TensorFlow","Machine Learning, Astronomy"
111,Research Project 111,A study on Linguistics with implications in modern applications.,14,Active,"PyTorch, TensorFlow, Statistics","Astronomy, Biology"
112,Research Project 112,A study on Blockchain with implications in modern applications.,33,Active,"R, Financial Forecasting, Public Speaking","Physics, Cloud Computing"
113,Research Project 113,A study on Environmental Science with implications in modern applications.,33,Active,"TensorFlow, Qualitative Research, Healthcare Policy","Environmental Science, Linguistics"
114,Research Project 114,A study on Computer Vision with implications in modern applications.,40,Inactive,"Data Analysis, Financial Forecasting, Healthcare Policy","Computer Vision, Sociology"
115,Research Project 115,A study on Biology with implications in modern applications.,39,Active,"Machine Learning, R, PyTorch","Computer Vision, Deep Learning"
116,Research Project 116,A study on Astronomy with implications in modern applications.,34,Active,"Econometric Modeling, Healthcare Policy, Cognitive Science","Physics, Linguistics"
117,Research Project 117,A study on Linguistics with implications in modern applications.,40,Active,"TensorFlow, SQL, Mathematical Modeling","Environmental Science, Anthropology"
118,Research Project 118,A study on Data Science with implications in modern applications.,16,Active,"Public Speaking, Healthcare Policy, R","Political Science, Healthcare"
119,Research Project 119,A study on Machine Learning with implications in modern applications.,9,Active,"Python, Econometric Modeling, Statistics","AI, Mathematics"
120,Research Project 120,A study on Deep Learning with implications in modern applications.,43,Active,"Legal Research, R, Data Analysis","Sociology, Law"
121,Research Project 121,A study on Physics with implications in modern applications.,22,Inactive,"Mathematical Modeling, Econometric Modeling, TensorFlow","Bioinformatics, NLP"
122,Research Project 122,A study on AI with implications in modern applications.,48,Inactive,"Statistics, Experimental Design, Genomics","Cloud Computing, Political Science"
123,Research Project 123,A study on Biology with implications in modern applications.,40,Active,"Data Analysis, Experimental Design, Qualitative Research","Mathematics, Environmental Science"
124,Research Project 124,A study on Cloud Computing with implications in modern applications.,4,Active,"Legal Research, Scientific Writing, Experimental Design","Anthropology, AI"
125,Research Project 125,A study on Mathematics with implications in modern applications.,38,Active,"Experimental Design, Qualitative Research, Public Speaking","AI, Political Science"
126,Research Project 126,A study on Computer Vision with implications in modern applications.,2,Inactive,"Legal Research, Statistics, R","Cybersecurity, Sociology"
127,Research Project 127,A study on Sociology with implications in modern applications.,34,Active,"Machine Learning, Econometric Modeling, Data Analysis","NLP, Mathematics"
128,Research Project 128,A study on Physics with implications in modern applications.,26,Active,"Legal Research, Public Speaking, Survey Analysis","Cybersecurity, Sociology"
129,Research Project 129,A study on Cybersecurity with implications in modern applications.,42,Active,"Statistics, Financial Forecasting, Legal Research","Physics, Environmental Science"
130,Research Project 130,A study on Computer Vision with implications in modern applications.,16,Inactive,"Experimental Design, Python, Behavioral Analysis","AI, Deep Learning"
131,Research Project 131,A study on Data Science with implications in modern applications.,14,Active,"Qualitative Research, Financial Forecasting, PyTorch","Economics, Anthropology"
132,Research Project 132,A study on Bioinformatics with implications in modern applications.,28,Active,"Python, Scientific Writing, Cognitive Science","Political Science, Cloud Computing"
133,Research Project 133,A study on Neuroscience with implications in modern applications.,16,Inactive,"Python, Survey Analysis, Mathematical Modeling","Data Science, Law"
134,Research Project 134,A study on Deep Learning with implications in modern applications.,33,Active,"SQL, Statistics, Healthcare Policy","Bioinformatics, AI"
135,Research Project 135,A study on Anthropology with implications in modern applications.,49,Active,"Legal Research, Behavioral Analysis, Qualitative Research","Blockchain, Healthcare"
136,Research Project 136,A study on Cloud Computing with implications in modern applications.,15,Active,"Cognitive Science, TensorFlow, Qualitative Research","Anthropology, Cloud Computing"
137,Research Project 137,A study on Environmental Science with implications in modern applications.,27,Active,"PyTorch, Data Analysis, R","Political Science, Law"
138,Research Project 138,A study on Economics with implications in modern applications.,44,Active,"Python, Healthcare Policy, Experimental Design","Sociology, Biology"
139,Research Project 139,A study on Cloud Computing with implications in modern applications.,34,Inactive,"Public Speaking, Financial Forecasting, Cognitive Science","Blockchain, Political Science"
140,Research Project 140,A study on Physics with implications in modern applications.,19,Active,"TensorFlow, Public Speaking, Survey Analysis","Deep Learning, Mathematics"
141,Research Project 141,A study on NLP with implications in modern applications.,10,Inactive,"Econometric Modeling, Statistics, Machine Learning","Environmental Science, Political Science"
142,Research Project 142,A study on Physics with implications in modern applications.,3,Active,"Experimental Design, Mathematical Modeling, Behavioral Analysis","Computer Vision, Healthcare"
143,Research Project 143,A study on Computer Vision with implications in modern applications.,49,Inactive,"Healthcare Policy, R, Mathematical Modeling","Healthcare, Physics"
144,Research Project 144,A study on Mathematics with implications in modern applications.,28,Active,"Public Speaking, PyTorch, R","NLP, Astronomy"
145,Research Project 145,A study on Machine Learning with implications in modern applications.,32,Active,"Survey Analysis, PyTorch, Scientific Writing","Bioinformatics, Environmental Science"
146,Research Project 146,A study on Law with implications in modern applications.,18,Active,"Statistics, Qualitative Research, Econometric Modeling","Biology, Environmental Science"
147,Research Project 147,A study on Neuroscience with implications in modern applications.,41,Inactive,"Cognitive Science, Data Analysis, Econometric Modeling","Political Science, Linguistics"
148,Research Project 148,A study on Cybersecurity with implications in modern applications.,14,Active,"R, Statistics, Genomics","Deep Learning, Mathematics"
149,Research Project 149,A study on Sociology with implications in modern applications.,22,Active,"Python, TensorFlow, SQL","Data Science, Bioinformatics"
150,Research Project 150,A study on Linguistics with implications in modern applications.,43,Active,"Financial Forecasting, Public Speaking, Experimental Design","Blockchain, Cybersecurity"
151,Research Project 151,A study on Psychology with implications in modern applications.,11,Active,"Statistics, Financial Forecasting, Experimental Design","Astronomy, NLP"
152,Research Project 152,A study on AI with implications in modern applications.,7,Active,"Financial Forecasting, Survey Analysis, Healthcare Policy","Cloud Computing, Education"
153,Research Project 153,A study on NLP with implications in modern applications.,22,Active,"Genomics, Behavioral Analysis, Mathematical Modeling","Physics, Machine Learning"
154,Research Project 154,A study on Astronomy with implications in modern applications.,48,Active,"Mathematical Modeling, Python, Financial Forecasting","Political Science, Physics"
155,Research Project 155,A study on Healthcare with implications in modern applications.,40,Active,"Cognitive Science, Experimental Design, R","Psychology, Linguistics"
156,Research Project 156,A study on Political Science with implications in modern applications.,21,Active,"Survey Analysis, Cognitive Science, Mathematical Modeling","Political Science, Anthropology"
157,Research Project 157,A study on Computer Vision with implications in modern applications.,21,Active,"Econometric Modeling, Scientific Writing, Experimental Design","Cybersecurity, Deep Learning"
158,Research Project 158,A study on Blockchain with implications in modern applications.,29,Inactive,"Qualitative Research, PyTorch, Public Speaking","Astronomy, Bioinformatics"
159,Research Project 159,A study on NLP with implications in modern applications.,45,Inactive,"TensorFlow, Machine Learning, Qualitative Research","Bioinformatics, Biology"
160,Research Project 160,A study on NLP with implications in modern applications.,28,Active,"SQL, Statistics, Data Analysis","Political Science, Education"
161,Research Project 161,A study on AI with implications in modern applications.,2,Active,"Experimental Design, Financial Forecasting, Public Speaking","Physics, Cybersecurity"
162,Research Project 162,A study on Healthcare with implications in modern applications.,23,Active,"SQL, Survey Analysis, Experimental Design","Linguistics, Biology"
163,Research Project 163,A study on Data Science with implications in modern applications.,14,Inactive,"Qualitative Research, SQL, R","Neuroscience, Environmental Science"
164,Research Project 164,A study on Psychology with implications in modern applications.,35,Active,"Python, Econometric Modeling, R","Psychology, Computer Vision"
165,Research Project 165,A study on Neuroscience with implications in modern applications.,49,Active,"Scientific Writing, R, Mathematical Modeling","Data Science, Bioinformatics"
166,Research Project 166,A study on Cybersecurity with implications in modern applications.,10,Active,"TensorFlow, Financial Forecasting, Qualitative Research","Bioinformatics, Sociology"
167,Research Project 167,A study on Economics with implications in modern applications.,38,Inactive,"TensorFlow, Python, Econometric Modeling","Economics, Healthcare"
168,Research Project 168,A study on Economics with implications in modern applications.,22,Inactive,"Scientific Writing, Behavioral Analysis, Experimental Design","Computer Vision, Healthcare"
169,Research Project 169,A study on NLP with implications in modern applications.,1,Active,"TensorFlow, Genomics, Qualitative Research","Computer Vision, Data Science"
170,Research Project 170,A study on Data Science with implications in modern applications.,49,Active,"Financial Forecasting, Machine Learning, Public Speaking","Blockchain, Mathematics"
171,Research Project 171,A study on Blockchain with implications in modern applications.,14,Active,"Econometric Modeling, Legal Research, PyTorch","Mathematics, AI"
172,Research Project 172,A study on Physics with implications in modern applications.,50,Active,"Scientific Writing, SQL, Survey Analysis","Cybersecurity, Blockchain"
173,Research Project 173,A study on Law with implications in modern applications.,43,Active,"Cognitive Science, R, Healthcare Policy","Law, Anthropology"
174,Research Project 174,A study on Political Science with implications in modern applications.,32,Active,"Machine Learning, Healthcare Policy, SQL","Political Science, Sociology"
175,Research Project 175,A study on Psychology with implications in modern applications.,27,Inactive,"PyTorch, Machine Learning, TensorFlow","AI, Law"
176,Research Project 176,A study on Cybersecurity with implications in modern applications.,42,Active,"Behavioral Analysis, Cognitive Science, Econometric Modeling","Psychology, Economics"
177,Research Project 177,A study on Biology with implications in modern applications.,30,Active,"SQL, Scientific Writing, PyTorch","Machine Learning, Deep Learning"
178,Research Project 178,A study on Education with implications in modern applications.,8,Inactive,"Genomics, Data Analysis, Mathematical Modeling","NLP, Political Science"
179,Research Project 179,A study on Deep Learning with implications in modern applications.,40,Active,"Cognitive Science, Healthcare Policy, Survey Analysis","AI, Cybersecurity"
180,Research Project 180,A study on Biology with implications in modern applications.,24,Inactive,"Qualitative Research, Python, Genomics","Computer Vision, Sociology"
181,Research Project 181,A study on Physics with implications in modern applications.,30,Inactive,"R, SQL, Financial Forecasting","Physics, Healthcare"
182,Research Project 182,A study on Environmental Science with implications in modern applications.,16,Active,"Machine Learning, Scientific Writing, Experimental Design","Astronomy, Deep Learning"
183,Research Project 183,A study on Education with implications in modern applications.,9,Active,"Cognitive Science, Healthcare Policy, Python","Education, Political Science"
184,Research Project 184,A study on Cybersecurity with implications in modern applications.,1,Active,"Econometric Modeling, Data Analysis, Cognitive Science","Data Science, Blockchain"
185,Research Project 185,A study on Sociology with implications in modern applications.,2,Active,"Experimental Design, R, Healthcare Policy","Machine Learning, Bioinformatics"
186,Research Project 186,A study on Bioinformatics with implications in modern applications.,37,Active,"SQL, Legal Research, R","NLP, Economics"
187,Research Project 187,A study on Political Science with implications in modern applications.,26,Active,"Scientific Writing, Healthcare Policy, Survey Analysis","Neuroscience, Cloud Computing"
188,Research Project 188,A study on NLP with implications in modern applications.,8,Inactive,"Healthcare Policy, Public Speaking, Data Analysis","Blockchain, Machine Learning"
189,Research Project 189,A study on Computer Vision with implications in modern applications.,24,Active,"TensorFlow, Mathematical Modeling, Behavioral Analysis","Mathematics, NLP"
190,Research Project 190,A study on Mathematics with implications in modern applications.,7,Active,"Cognitive Science, Healthcare Policy, Financial Forecasting","Astronomy, Neuroscience"
191,Research Project 191,A study on Blockchain with implications in modern applications.,21,Inactive,"Machine Learning, Statistics, Financial Forecasting","NLP, Psychology"
192,Research Project 192,A study on NLP with implications in modern applications.,20,Active,"Public Speaking, SQL, Mathematical Modeling","Biology, Sociology"
193,Research Project 193,A study on Cloud Computing with implications in modern applications.,20,Inactive,"Financial Forecasting, Qualitative Research, Survey Analysis","Neuroscience, Economics"
194,Research Project 194,A study on Linguistics with implications in modern applications.,22,Inactive,"Experimental Design, TensorFlow, Machine Learning","Education, Astronomy"
195,Research Project 195,A study on Political Science with implications in modern applications.,31,Active,"R, Scientific Writing, Healthcare Policy","NLP, Psychology"
196,Research Project 196,A study on Cybersecurity with implications in modern applications.,19,Active,"SQL, TensorFlow, Healthcare Policy","Linguistics, Bioinformatics"
197,Research Project 197,A study on Environmental Science with implications in modern applications.,15,Active,"SQL, PyTorch, Financial Forecasting","Neuroscience, NLP"
198,Research Project 198,A study on Physics with implications in modern applications.,14,Active,"Econometric Modeling, Scientific Writing, Machine Learning","Astronomy, Economics"
199,Research Project 199,A study on Astronomy with implications in modern applications.,6,Active,"Python, Behavioral Analysis, PyTorch","Linguistics, Computer Vision"
200,Research Project 200,A study on Machine Learning with implications in modern applications.,44,Active,"Financial Forecasting, Mathematical Modeling, Data Analysis","Psychology, Astronomy"
201,Research Project 201,A study on Blockchain with implications in modern applications.,17,Active,"Behavioral Analysis, Statistics, PyTorch","Cloud Computing, Mathematics"
202,Research Project 202,A study on Education with implications in modern applications.,33,Inactive,"Legal Research, Mathematical Modeling, TensorFlow","Bioinformatics, Psychology"
203,Research Project 203,A study on Physics with implications in modern applications.,50,Active,"Healthcare Policy, Experimental Design, Scientific Writing","Physics, Astronomy"
204,Research Project 204,A study on Political Science with implications in modern applications.,38,Active,"Experimental Design, SQL, Healthcare Policy","Deep Learning, Sociology"
205,Research Project 205,A study on Data Science with implications in modern applications.,4,Active,"Healthcare Policy, Data Analysis, Econometric Modeling","AI, Anthropology"
206,Research Project 206,A study on Biology with implications in modern applications.,47,Active,"PyTorch, Data Analysis, Machine Learning","Education, Linguistics"
207,Research Project 207,A study on Sociology with implications in modern applications.,8,Active,"TensorFlow, Public Speaking, Statistics","Economics, Data Science"
208,Research Project 208,A study on Neuroscience with implications in modern applications.,38,Inactive,"Experimental Design, Scientific Writing, Machine Learning","Cloud Computing, Machine Learning"
209,Research Project 209,A study on Sociology with implications in modern applications.,16,Active,"Healthcare Policy, Python, Econometric Modeling","Cybersecurity, Computer Vision"
210,Research Project 210,A study on Mathematics with implications in modern applications.,46,Active,"Python, Survey Analysis, Statistics","Sociology, Education"
